CreditScore,Age,Tenure,Balance,NumOfProducts,IsActiveMember,Exited,Tenure_Ratio,Balance_Per_Product,Active_Senior,Has_Balance,Is_Multi_Product,Gender_Male,Age_Group
619,42,2,0.0,1,1,1,0.047619047619047616,0.0,0,0,0,0,2
608,41,1,83807.86,1,1,0,0.024390243902439025,41903.93,0,1,0,0,2
502,42,8,159660.8,3,0,1,0.19047619047619047,39915.2,0,1,1,0,2
699,39,1,0.0,2,0,0,0.02564102564102564,0.0,0,0,0,0,1
850,43,2,125510.82,1,1,0,0.046511627906976744,62755.41,0,1,0,0,2
645,44,8,113755.78,2,0,1,0.18181818181818182,37918.59333333333,0,1,0,1,2
822,50,7,0.0,2,1,0,0.14,0.0,0,0,0,1,2
376,29,4,115046.74,4,0,1,0.13793103448275862,23009.348,0,1,1,0,0
501,44,4,142051.07,2,1,0,0.09090909090909091,47350.35666666667,0,1,0,1,2
684,27,2,134603.88,1,1,0,0.07407407407407407,67301.94,0,1,0,1,0
528,31,6,102016.72,2,0,0,0.1935483870967742,34005.573333333334,0,1,0,1,1
497,24,3,0.0,2,0,0,0.125,0.0,0,0,0,1,0
476,34,10,0.0,2,0,0,0.29411764705882354,0.0,0,0,0,0,1
549,25,5,0.0,2,0,0,0.2,0.0,0,0,0,0,0
635,35,7,0.0,2,1,0,0.2,0.0,0,0,0,0,1
616,45,3,143129.41,2,1,0,0.06666666666666667,47709.80333333334,0,1,0,1,2
653,58,1,132602.88,1,0,1,0.017241379310344827,66301.44,0,1,0,1,3
549,24,9,0.0,2,1,0,0.375,0.0,0,0,0,0,0
587,45,6,0.0,1,0,0,0.13333333333333333,0.0,0,0,0,1,2
726,24,6,0.0,2,1,0,0.25,0.0,0,0,0,0,0
732,41,8,0.0,2,1,0,0.1951219512195122,0.0,0,0,0,1,2
636,32,8,0.0,2,0,0,0.25,0.0,0,0,0,0,1
510,38,4,0.0,1,0,1,0.10526315789473684,0.0,0,0,0,0,1
669,46,3,0.0,2,1,0,0.06521739130434782,0.0,0,0,0,1,2
846,38,5,0.0,1,1,0,0.13157894736842105,0.0,0,0,0,0,1
577,25,3,0.0,2,1,0,0.12,0.0,0,0,0,1,0
756,36,2,136815.64,1,1,0,0.05555555555555555,68407.82,0,1,0,1,1
571,44,9,0.0,2,0,0,0.20454545454545456,0.0,0,0,0,1,2
574,43,3,141349.43,1,1,0,0.06976744186046512,70674.715,0,1,0,0,2
411,29,0,59697.17,2,1,0,0.0,19899.056666666667,0,1,0,1,0
591,39,3,0.0,3,0,1,0.07692307692307693,0.0,0,0,1,0,1
533,36,7,85311.7,1,1,0,0.19444444444444445,42655.85,0,1,0,1,1
553,41,9,110112.54,2,0,0,0.21951219512195122,36704.18,0,1,0,1,2
520,42,6,0.0,2,1,0,0.14285714285714285,0.0,0,0,0,0,2
722,29,9,0.0,2,1,0,0.3103448275862069,0.0,0,0,0,0,0
475,45,0,134264.04,1,0,1,0.0,67132.02,0,1,0,0,2
